material,short_text,supplier/supplying_plant,order_quantity,net_price,total_spend,material_group,plant
64000788.0,SS Door Sign 25*10.5 cm,200303     AL JIHAD OFFICE,50.0,40.0,2000.0,44,HP01
63001327.0,Storage soln pH Electrodes_PC_HI70300,200226     CHEMSTOCK LLC,1.0,55.0,55.0,35,LP01
21000054.0,Alu Foil Etoxib 60mg Tab 128mm 25µ,200052     TECHNICAL ALUMINIUM FOIL CO LLC,50.0,34.0,1700.0,2,LP01
67000003.0,Crp-Company Profile,200322     ARAFAH PRINTING PRESS LLC,1000.0,0.99,990.0,47,LP01
67000012.0,Crp-Product list,200322     ARAFAH PRINTING PRESS LLC,1000.0,1.25,1250.0,47,LP01
71000097.0,Nitro Software,"300083     NITRO SOFTWARE, INC.",20.0,50.0,1000.0,54,LP01
62000575.0,Anaerobic indicator tablet  (LE065 1X5NO,200004     LABORATORY SCIENTIFIC SUPPLIES F.Z.,1.0,260.0,260.0,35,HP01
63001333.0,Trifluoroacetic acid_76-05-1,200004     LABORATORY SCIENTIFIC SUPPLIES F.Z.,2.0,1100.0,2200.0,35,HP01
63001096.0,"YMC ODS-A,250*4.6mm,5u_AA12S05-2546WT",200004     LABORATORY SCIENTIFIC SUPPLIES F.Z.,2.0,3500.0,7000.0,158,HP01
62000576.0,Anaerobic jar transparent (AJ9028),200004     LABORATORY SCIENTIFIC SUPPLIES F.Z.,1.0,1600.0,1600.0,35,HP01
,Multi Sensor Detector,200212     GLOBAL ALARMS SAFETY & SECURITY,1.0,635.14,635.14,40,HP01
,Fire Alarm Programming,200212     GLOBAL ALARMS SAFETY & SECURITY,1.0,3218.01,3218.01,40,HP01
,CO2 10 Kg Fire Extinguisher Wheeled,200212     GLOBAL ALARMS SAFETY & SECURITY,1.0,846.85,846.85,40,HP01
62000562.0,White Label 38mmX25mm,200043     AL TARMEZ DIGIT SYSTEM TECHNOLOGY L,50.0,3.0,150.0,22,LP01
62000567.0,White Label 102mmX50.8mm,200043     AL TARMEZ DIGIT SYSTEM TECHNOLOGY L,50.0,25.0,1250.0,22,LP01
13000541.0,Voltaren D 50mg Tablets,200086     AL AHLIYA PHARMACY,8.0,51.3,410.4,49,LP01
13000556.0,Xyzal 5mg Tablets 30’s,200086     AL AHLIYA PHARMACY,3.0,52.65,157.95,49,LP01
62000464.0,SS 316L 8 inch Sieve 210 x 50 mm Mesh si,300021     AMI POLYMER PVT. LTD.,12.0,108.0,1296.0,200,HP01
63000879.0,Airtec - Zero Air Gas Cylinder Refill,200189     AL RUWAIS INDUSTRIAL GASES CO. LLC,1.0,675.0,675.0,35,HP01
71000213.0,Particle size analysis,300110     RESONANCE SCIENTIFIC & LABORATORY,1.0,2000.0,2000.0,54,LP01
63000249.0,Sodium Sulphite_7757-83-7,200004     LABORATORY SCIENTIFIC SUPPLIES F.Z.,1.0,230.0,230.0,35,LP01
13000492.0,"CART2,3,4,4.6mm HPLC Catridge,SKU:151486",200004     LABORATORY SCIENTIFIC SUPPLIES F.Z.,2.0,2020.0,4040.0,158,LP01
64001006.0,Oriental Motor Gear Head,200493     APEX GLOBAL SOLUTIONS LLC,1.0,789.0,789.0,40,HP01
63001211.0,Valsartan RC A  10mg_1708773,200004     LABORATORY SCIENTIFIC SUPPLIES F.Z.,9.0,5296.0,47664.0,162,LP01
63000885.0,Valsartan RC-B  10mg_1708784,200004     LABORATORY SCIENTIFIC SUPPLIES F.Z.,6.0,5700.0,34200.0,162,LP01
63001212.0,Valsartan RC C 10mg_1708795,200004     LABORATORY SCIENTIFIC SUPPLIES F.Z.,6.0,5700.0,34200.0,162,LP01
